Project ID,Toolkit Locations Found by Autocoder,All Toolkit Locations,All Autocoder Locations,Percentage Correct of Locations Found by Autocoder,Percentage Incorrect of Locations Found by Autocoder
NGA/000260,2347266,"2322907, 2326168, 2327546, 2328925, 2334797, 2335722, 2346794, 2347266, 2565345, 2595345, 2597367",2347266,100.0,0.0
NGA/000261,"7701433, 7701434, 7729925, 7729927, 7729934, 7729939, 7729966, 7729982, 7729985, 7729987, 7730012, 7730013, 7730015, 7730021, 7730022, 8631808, 8632707, 8634507, 8634508, 8634509, 8634514, 8634919, 8636775, 8638005, 8638006, 8638007, 8638070, 8638073, 8638087, 8638091, 8638095, 8638097, 8659772, 8659775, 8659777, 8659778, 8659780, 8659798, 8659805, 8659807, 8659808, 8659811, 8659812","2340618, 7701433, 7701434, 7729922, 7729923, 7729925, 7729927, 7729934, 7729939, 7729966, 7729982, 7729985, 7729987, 7730012, 7730013, 7730015, 7730021, 7730022, 8631808, 8632707, 8634507, 8634508, 8634509, 8634514, 8634919, 8636769, 8636773, 8636775, 8638005, 8638006, 8638007, 8638070, 8638073, 8638087, 8638091, 8638095, 8638097, 8659772, 8659775, 8659777, 8659778, 8659780, 8659798, 8659805, 8659807, 8659808, 8659811, 8659812","7701433, 7701434, 7729925, 7729925, 7729927, 7729927, 7729931, 7729934, 7729938, 7729939, 7729966, 7729982, 7729985, 7729987, 7730012, 7730013, 7730015, 7730021, 7730022, 8631808, 8632707, 8634507, 8634508, 8634509, 8634514, 8634539, 8634919, 8636775, 8638005, 8638006, 8638007, 8638070, 8638073, 8638087, 8638091, 8638095, 8638097, 8659772, 8659775, 8659777, 8659778, 8659780, 8659798, 8659805, 8659807, 8659808, 8659811, 8659812, 9485483, 9492098",90.0,10.0
NGA/000262,8637590,"7729972, 8637590",8637590,100.0,0.0
NGA/000263,2328926,2328926,2328926,100.0,0.0
NGA/000264,2347266,"2324828, 2328926, 2347266",2347266,100.0,0.0
NGA/000265,2565340,"2325190, 2345891, 2565340, 2565341",2565340,100.0,0.0
NGA/000266,2328926,"2328926, 2328927",2328926,100.0,0.0
NGA/000267,2328926,2328926,2328926,100.0,0.0
NGA/000268,2565344,"2322907, 2328925, 2332453, 2332785, 2334797, 2335196, 2335722, 2565344, 2565345, 2595349",2565344,100.0,0.0
NGA/000269,2565345,"2334797, 2335196, 2335722, 2565345, 2595349",2565345,100.0,0.0
NGA/000270,2328926,2328926,2328926,100.0,0.0
NGA/000271,2328926,2328926,2328926,100.0,0.0
